Question,Answer,Source,Verb,Target
Explain the connection between about 500 meteorites and the surface.,meteorites are a type of meteorite,about 500 meteorites,hit,the surface
How are about 500 meteorites and the surface related?,meteorites are meteorites,about 500 meteorites,hit,the surface
What does about 500 meteorites hit?,surface,about 500 meteorites,hit,the surface
Who or what hits the surface?,meteorites,about 500 meteorites,hit,the surface
What is the relationship between the folded paper and coin?,coin's shape,the folded paper,sway,coin
Explain the connection between the folded paper and coin.,coin,the folded paper,sway,coin
How are the folded paper and coin related?,coin,the folded paper,sway,coin
What does the folded paper sway?,coin,the folded paper,sway,coin
Who or what sways coin?,folded paper,the folded paper,sway,coin
What is the relationship between the part and rise?,part of,the part,give,rise
Explain the connection between the part and rise.,the part of the body that gives rise,the part,give,rise
How are the part and rise related?,part,the part,give,rise
What does the part give?,rise,the part,give,rise
Who or what gives rise?,the part,the part,give,rise
What is the relationship between the person and alcohol?,relationship,the person,prepare,alcohol
Explain the connection between the person and alcohol.,alcohol,the person,prepare,alcohol
How are the person and alcohol related?,Alcohol,the person,prepare,alcohol
What does the person prepare?,alcohol,the person,prepare,alcohol
What is the relationship between peripheral nervous system and 12 pairs?,number of pairs,peripheral nervous system,consist,12 pairs
Explain the connection between peripheral nervous system and 12 pairs.,neuronal system,peripheral nervous system,consist,12 pairs
How are peripheral nervous system and 12 pairs related?,peripheral nervous system consist 12 pairs,peripheral nervous system,consist,12 pairs
What does peripheral nervous system consist?,pairs,peripheral nervous system,consist,12 pairs
Who or what consists 12 pairs?,peripheral nervous system,peripheral nervous system,consist,12 pairs
What is the relationship between ozone formation and the troposphere?,ozone formation takes the troposphere,ozone formation,take,the troposphere
Explain the connection between ozone formation and the troposphere.,ozone formation takes the troposphere,ozone formation,take,the troposphere
How are ozone formation and the troposphere related?,ozone formation takes the troposphere,ozone formation,take,the troposphere
What does ozone formation take?,troposphere,ozone formation,take,the troposphere
Who or what takes the troposphere?,ozone formation,ozone formation,take,the troposphere
What is the relationship between a. expansion and place?,instance of,a. expansion,take,place
Explain the connection between a. expansion and place.,place,a. expansion,take,place
How are a. expansion and place related?,place,a. expansion,take,place
What does a. expansion take?,time,a. expansion,take,place
Who or what takes place?,expansion,a. expansion,take,place
What is the relationship between the formation and millions?,take,the formation,take,millions
Explain the connection between the formation and millions.,it's a form of music,the formation,take,millions
How are the formation and millions related?,take,the formation,take,millions
What does the formation take?,millions,the formation,take,millions
Who or what takes millions?,formation,the formation,take,millions
What is the relationship between small and large objects and the ground?,small and large objects,small and large objects,reach,the ground
Explain the connection between small and large objects and the ground.,small and large objects,small and large objects,reach,the ground
How are small and large objects and the ground related?,small and large objects reach the ground,small and large objects,reach,the ground
What does small and large objects reach?,ground,small and large objects,reach,the ground
Who or what reach the ground?,objects,small and large objects,reach,the ground
What is the relationship between increase and the rate?,decrease,increase,decrease,the rate
Explain the connection between increase and the rate.,decreases the amount of money spent,increase,decrease,the rate
How are increase and the rate related?,decrease,increase,decrease,the rate
Who or what decreases the rate?,increase,increase,decrease,the rate
What is the relationship between polluted air and various airborne diseases?,cause,polluted air,cause,various airborne diseases
Explain the connection between polluted air and various airborne diseases.,polluted air,polluted air,cause,various airborne diseases
How are polluted air and various airborne diseases related?,polluted air cause various airborne diseases,polluted air,cause,various airborne diseases
What causes various airborne diseases?,polluted air,polluted air,cause,various airborne diseases
What does polluted air cause?,various airborne diseases,polluted air,cause,various airborne diseases
Who or what causes various airborne diseases?,polluted air,polluted air,cause,various airborne diseases
What is the relationship between the researcher and whose shape?,given,the researcher,give,whose shape
Explain the connection between the researcher and whose shape.,whose shape,the researcher,give,whose shape
How are the researcher and whose shape related?,whose shape,the researcher,give,whose shape
What does the researcher give?,shape,the researcher,give,whose shape
Who or what gives whose shape?,researcher,the researcher,give,whose shape
What is the relationship between insulin and the blood sugar level?,blood sugar level,insulin,reduce,the blood sugar level
